+---------------------+---------------------+----------------------------------------------------+-------+----------+------------+----------------------+--------------------------------------------+-----------------+---------------+
| parent organisation | organisasjonsnummer | navn                                               | land  | landkode | postnummer | poststed             | adresse                                    | kommune         | kommunenummer |
+---------------------+---------------------+----------------------------------------------------+-------+----------+------------+----------------------+--------------------------------------------+-----------------+---------------+
| 984086822           | 984086822           | ABUS ENTREPRENØR AS                                | Norge | NO       | 9790       | KJØLLEFJORD          | Strandvegen 146                            | LEBESBY         | 5438          |
| 984086822           | 984111312           | ABUS ENTREPRENØR AS                                | Norge | NO       | 9790       | KJØLLEFJORD          | Strandvegen 146                            | LEBESBY         | 5438          |
| 948521806           | 948521806           | ANDREASSEN & AASTVEIT AS                           | Norge | NO       | 4820       | FROLAND              | Nidelvvegen 59G                            | FROLAND         | 4214          |
| 948521806           | 971998814           | ANDREASSEN & AASTVEIT AS                           | Norge | NO       | 4820       | FROLAND              | Nidelvvegen 59G                            | FROLAND         | 4214          |
| 930618802           | 930618802           | ANDØY INSTALLASJON AS                              | Norge | NO       | 8480       | ANDENES              | Industriveien 2B                           | ANDØY           | 1871          |
| 930618802           | 973186930           | ANDØY INSTALLASJON AS                              | Norge | NO       | 8480       | ANDENES              | Industriveien 2B                           | ANDØY           | 1871          |
| 937155085           | 937155085           | AQILA AS                                           | Norge | NO       | 8372       | GRAVDAL              | Industriveien 1                            | VESTVÅGØY       | 1860          |
| 937155085           | 976283007           | AQILA AS AVD RAMBERG                               | Norge | NO       | 8380       | RAMBERG              | Flakstadveien 457                          | FLAKSTAD        | 1859          |
| 937155085           | 875987992           | AQILA AS AVD RØST                                  | Norge | NO       | 8064       | RØST                 |                                            | RØST            | 1856          |
| 937155085           | 871791252           | AQILA AS AVD SVOLVÆR                               | Norge | NO       | 8300       | SVOLVÆR              | Ørnvikveien 13                             | VÅGAN           | 1865          |
| 937155085           | 972029297           | AQILA AS AVD VESTVÅGØY                             | Norge | NO       | 8372       | GRAVDAL              | Industriveien 1                            | VESTVÅGØY       | 1860          |
| 814910652           | 814910652           | ARCTIC ELEKTRO AS                                  | Norge | NO       | 9750       | HONNINGSVÅG          | Nordkappveien 22                           | NORDKAPP        | 5435          |
| 814910652           | 924900156           | ARCTIC ELEKTRO AS AVD HAVØYSUND                    | Norge | NO       | 9690       | HAVØYSUND            | Strandgata 153                             | MÅSØY           | 5434          |
| 814910652           | 914972094           | ARCTIC ELEKTRO AS AVD HONNINGSVÅG                  | Norge | NO       | 9750       | HONNINGSVÅG          | Nordkappveien 22                           | NORDKAPP        | 5435          |
| 952170570           | 952170570           | ARKEL ASKER OG BÆRUM AS                            | Norge | NO       | 1395       | HVALSTAD             | Ravnsborgveien 56                          | ASKER           | 3025          |
| 952170570           | 986239537           | ARKEL ASKER OG BÆRUM AS                            | Norge | NO       | 1395       | HVALSTAD             | Ravnsborgveien 56                          | ASKER           | 3025          |
| 989031686           | 989031686           | ARKEL INNLANDET AS                                 | Norge | NO       | 2382       | BRUMUNDDAL           | Furnesvegen 14B                            | RINGSAKER       | 3411          |
| 989031686           | 989064320           | ARKEL INNLANDET AS                                 | Norge | NO       | 2382       | BRUMUNDDAL           | Furnesvegen 14B                            | RINGSAKER       | 3411          |
| 989031686           | 929433076           | ARKEL PROFIL                                       | Norge | NO       | 2382       | BRUMUNDDAL           | Furnesvegen 14B                            | RINGSAKER       | 3411          |
| 984438370           | 984438370           | ARKEL OSLO AS                                      | Norge | NO       | 0563       | OSLO                 | Sofienberggata 55                          | OSLO            | 0301          |
| 984438370           | 984483104           | ARKEL OSLO AS                                      | Norge | NO       | 0563       | OSLO                 | Sofienberggata 55                          | OSLO            | 0301          |
| 935179874           | 935179874           | ARNEBERG & LUND ELEKTRO AS                         | Norge | NO       | 2270       | FLISA                | Negardsvegen 25                            | ÅSNES           | 3418          |
| 935179874           | 972012122           | ARNEBERG & LUND ELEKTRO AS                         | Norge | NO       | 2270       | FLISA                | Negardsvegen 25                            | ÅSNES           | 3418          |
| 958862431           | 958862431           | AS WATT                                            | Norge | NO       | 1364       | FORNEBU              | Martin Linges vei 25                       | BÆRUM           | 3024          |
| 958862431           | 972235199           | AS WATT                                            | Norge | NO       | 1364       | FORNEBU              | Martin Linges vei 25                       | BÆRUM           | 3024          |
| 888754822           | 888754822           | ASKEL INSTALLASJON AS                              | Norge | NO       | 3515       | HØNEFOSS             | Tyrimyrveien 10F                           | RINGERIKE       | 3007          |
| 888754822           | 988761850           | ASKEL INSTALLASJON AS                              | Norge | NO       | 3515       | HØNEFOSS             | Tyrimyrveien 10F                           | RINGERIKE       | 3007          |
| 997003578           | 997003578           | AUSTAD ELEKTRO AS                                  | Norge | NO       | 3750       | DRANGEDAL            | Smedveien 1B                               | DRANGEDAL       | 3815          |
